pack,id,title,category,rules,dice,review
"core","core.house-special","House Special","sip","Drink 3.","",""
"core","core.bar-tab","Bar Tab","sip","Give 3.","",""
"core","core.bad-influence","Bad Influence","sip","Pick someone. Both drink 2.","",""
"core","core.you-specifically","Fuck You Specifically","sip","Pick someone. They drink 4.","",""
"core","core.bad-text","U Up?","sip","Sent a regrettable late-night text? Drink 3.","",""
"core","core.hr-violation","HR Violation","sip","Hooked up with a coworker? Drink 4.","",""
"core","core.fake-sick","Corporate Wellness","sip","Faked sick to skip work? Drink 3.","",""
"core","core.crypto-bro","Financial Genius","sip","Own crypto? Drink 2. Don't? Give 2.","",""
"core","core.give-one","Give One","sip","Give 1 sip to anyone. Make eye contact.","",""
"core","core.give-two","Give Two","sip","Give 2 sips to anyone. Announce it like a tax refund.","",""
"core","core.drink-two","Drink Two","sip","Drink 2. No explanation owed.","",""
"core","core.give-take","Give and Take","sip","Give 2 sips to someone. Take 1 yourself. Balanced.","",""
"core","core.kings-two","Two Is You","sip","Give 2 sips to anyone. Point so it's personal.","",""
"core","core.kings-three","Three Is Me","sip","Drink 3. The cards hate you personally.","",""
"core","core.potion-courage","Potion of Courage","sip","Drink 2, then dare someone to match you. They may pass.","",""
"core","core.resurrection","Resurrection","sip","Top up your drink, then take 2 sips for the fallen.","",""
"core","core.mimic-chest","Mimic Chest","sip","Open the chest: take 2 sips and give 1 away.","",""
"core","core.empty-the-tank","Empty the Tank","sip","Roll d6. Drink your roll. The die knows what you did.","1d6 — Drink {total}.",""
"core","core.loose-change","Loose Change","sip","Roll d6. Give that many, split between two people.","1d6 — Give {total}, split between two people.",""
"core","core.big-spender","Big Spender","sip","Roll 2d6. Give the total. Announce it like it's charity.","2d6 — Give {total}.",""
"core","core.do-better","Do Better","sip","Drink 1 more than the last person drank. Blame them.","",""
"core","core.another-one","Another One","sip","Drink the last amount you drank, then 1 more.","",""
"core","core.for-safety","For Safety","sip","Your next drink is water. Announce it like a heroic choice.","",""
"core","house.sheet-004","California Sober","sip","Anyone choosing a smoke break takes water. Everyone else takes 1 sip.","",""
"core","house.sheet-006","The Game Giveth","sip","Give 1 sip. If The Game Taketh appeared this game, give 2 instead.","",""
"core","house.sheet-007","The Game Taketh","sip","Take 1 sip. If The Game Giveth appeared this game, take 2 instead.","",""
"core","house.sheet-016","Ursaring","sip","Give 1 sip and apologize like a very serious bear.","",""
"core","house.sheet-026","Been to Mexico?","sip","Been to Mexico? Take 1 sip.","",""
"core","house.sheet-027","Michael Mouse","sip","Count the Disney parks you have visited. If any, take 1 sip.","",""
"core","house.sheet-028","No take, Give","sip","Roll d6. Odd: give 1 sip. Even: give 2.","1d6 — Odd: give 1 sip. Even: give 2.",""
"core","house.sheet-031","Batrick","sip","Take a sip for Batrick. Make it water if you need a cure.","",""
"core","house.sheet-036","Called Same","sip","You called “Same.” Give 1 sip.","",""
"core","house.sheet-037","Missed Same","sip","You missed “Same.” Take 1 sip.","",""
"core","house.sheet-038","The Rock","sip","Take 1 sip. You cannot pass it along.","",""
"core","house.sheet-045","Drink, bitch","sip","If you drank on the last card, take 1 more sip.","",""
"core","house.sheet-050","Flown First Class?","sip","Flown first class? Take 1 sip.","",""
"core","house.sheet-051","The Cino","sip","Lost money at a casino? Take 1 sip.","",""
"core","house.sheet-054","Winnie the Pooh","sip","Take 1 sip, Pooh Bear style.","",""
"core","house.sheet-055","Could ya just","sip","Take 1 sip. Yeah, just one.","",""
"core","house.sheet-059","Bu-bu-buff..","sip","Almost got Buffaloed? Take 1 sip.","",""
"core","house.sheet-063","Straight to jail","sip","Take 1 sip. The judge says no passing it along.","",""
"core","house.sheet-064","Singles","sip","Single? Take 1 sip.","",""
"core","house.sheet-065","Couples","sip","In a relationship? Take 1 sip for your person.","",""
"core","house.sheet-067","Been to Germany?","sip","Been to Germany? Take 1 sip.","",""
"core","house.sheet-068","Been to Ireland?","sip","Been to Ireland? Take 1 sip.","",""
"core","house.sheet-069","Been to Italy?","sip","Been to Italy? Take 1 sip.","",""
"core","house.sheet-070","Been to Paris?","sip","Been to Paris? Take 1 sip.","",""
"core","house.sheet-071","Been to Canada?","sip","Been to Canada? Take 1 sip.","",""
"core","house.sheet-072","Been to Thailand?","sip","Been to Thailand? Take 1 sip.","",""
"core","house.sheet-073","Been to Japan?","sip","Been to Japan? Take 1 sip.","",""
"core","house.sheet-074","Bathroom Disaster","sip","Had a bathroom disaster? Take 1 sip. At the cabin? Give 1 too.","",""
"core","house.sheet-078","Nailed the G","sip","Nailed the G? Give 1 sip.","",""
"core","house.sheet-079","Missed the G","sip","Missed the G? Take 1 sip.","",""
"core","house.sheet-094","Blessing & a Curse","sip","Give 1 sip, then take 1 sip yourself.","",""
"core","house.sheet-102","Vowels","sip","Count the vowels in your name. Take 1 sip if you have any.","",""
"core","core.last-call","Last Call","group","Everyone drinks 2.","",""
"core","core.cheap-date","Cheap Date","group","Cheapest drink at the table drinks 3.","",""
"core","core.baller","Big Money","group","Priciest drink at the table gives 4.","",""
"core","core.group-project","Group Project","group","Last hand in the air drinks 3.","",""
"core","core.would-you","Would You Though?","group","Most likely to text an ex drinks 3.","",""
"core","core.cheers-idiots","Cheers, Idiots","group","Cheers. Everyone drinks 2.","",""
"core","core.social-sip","Social Sip","group","Everyone drinks 2. Cheers to the group chat.","",""
"core","core.girls-drink","Girls Drink","group","Everyone who identifies as a girl drinks 2.","",""
"core","core.guys-drink","Guys Drink","group","Everyone who identifies as a guy drinks 2.","",""
"core","core.table-toast","Table Toast","group","Raise your glass. Last to toast drinks 2.","",""
"core","core.elders","Respect Your Elders","group","Oldest player drinks 2. You owe them this.","",""
"core","core.youth","Youth Is Wasted","group","Youngest player drinks 2. Youth is wasted on them.","",""
"core","core.tallest","Big Friendly Giant","group","Tallest player drinks 2. Duck.","",""
