Main,,,VIP,(Special deck to add if it's your birthday or celebration)
Title,Description,,Title,Description
That's Two Beers?,Give 4d6 drinks,,Fast as Fuck Boi,VIP gives 3x what they can drink in 1 minute.
California Sober,"Get pitted and smoke something, then drink 1d6 water. Else, take a shot.",,Your Big Night,Everyone has to say something nice about the VIP. Then everyone drinks.
Dog Vision,"If you're wearing blue or yellow, give 2",,One Year Older,Give out the ones place of your new age
The Game Giveth,"Give 3 drinks. If ""The Game Taketh"" was already played, multiply by 1d6.",,It's Gotta Go,"Congrats, the VIP finishes their drink"
The Game Taketh,"Take 3 drinks. If ""The Game Giveth"" was already played, multiply by 1d6.",,,
Fetch,Get something from outside in under 30 seconds or drink 1d20,,,
Steve's Beans,Text Steve and tell them his beans are good. Else drink 2d6,,,
Caveman,You can only grunt until your next turn,,,
Drink at Ron,"If Ron is there, drink at him. Else, call and drink at him. Else else, drink 2 ",,,
Maddy Booty,"Roll 1d20. You drink until the group counts to it, or you finish your drink.",,,
Ron Stop,"Everyone drinks for as long as you can say ""Ron stop""",,,
Medusa,The first person you make eye contact with must get stoned. ,,,
Mr Freeze,Anyone you touch can't move or talk until you stop touching them,,,
Ursaring ,Give 13 and apologize,,,
Send Help,"Convince someone to drink 1. Else, take a shot.",,,
Story Time,Say a word. The next person repeats and adds on. Loser drink 4.,,,
And the Chicks,1 guy drinks. All girls drink,,,
Weinerschnitzel,All dudes drink,,,
Categories,Disney Movies,,,
Categories,Taco Bell menu items,,,
Headache Simulator,Wear Becca's glasses for a round. Else drink 2d6,,,
Wench,You are the drink wench until your next turn,,,
Categories,Things you lick,,,
Never Have I Ever,Drink if you've been to Mexico,,,
Michael Mouse,How many distinct Disney parks have you been to? Drink that many,,,
"No take, Give",Give d6 drinks,,,
FMK,"Blink 182, Green Day, Weezer",,,
Potty Mouth,No more cursing for the rest of the game. Drink when you fuck up.,,,
Batrick ,Take a (rabies) shot,,,
Rawr XD,You have to use T-Rex arms until your next turn,,,
Categories,Trilogy movies,,,
Technophoria ,"If you've ever touched a phone, drink 1d6",,,
Categories,Countries,,,
Same,"You called Same, give d6",,,
Same ,"You didn't call Same, take d6",,,
The Rock,"Finish your drink, you don't get to pass it along",,,
This Sucks,Buffalo switches hands for the rest of the game,,,
Pokemon,Speak only your first name for 2 rounds,,,
Categories,Hockey players,,,
Pet that dog,"Better pet any dog in the room, or take 1d6",,,
QUICK,"Both hands up, last person to do it drinks",,,
Points,Count to 3 and everyone points at a person to drink. Drink how many points you get,,,
"Drink, bitch","If you drank last card, drink again, bitch",,,
Fiend,"Pop in a fresh zyn, velo, nic pouch",,,
Battery Life,Closest guess to your phone's battery gives 2 drinks,,,
"Rock, Paper, Scissors","Challenge a player, loser drinks 1d6",,,
Mexico v China,"Thumbs up for Mexican food, thumbs down for chinese. Minority drinks",,,
Never Have I Ever,Drink if you've flown First Class,,,
The Cino,Drink if you've lost money in the casino,,,
Categories,Name those Pokémon,,,
Abra like a Slut,Reverse the turn order,,,
Whinnie the Pooh,Pooh-bear 1d6 drinks,,,
Could ya just,Drink 1,,,
Mt. Krumpit,Dump out your drink and get a fresh one,,,
I'm an Idiot,"Say I'm an idiot. Whoever replies ""you're an idiot"" drinks ",,,
Accent,Speak like a high lord and give 1d6 drinks,,,
Bu-bu-buff..,Drink 1d6 for almost getting buffaloed,,,
Spirit airlines,"Tell your worst vacation story. If team agrees it's bad, give 2 drinks. If team agrees it's not bad, drink 2 drinks.",,,
"Damn, you're old",Oldest takes a drink,,,
What was that?,"Read the last text message you said out loud. Else, drink 1d6.",,,
Straight to jail,Finish your drink,,,
Singles,Drink if you're single,,,
Couples,Take 1 drink for every year you've been in a relationship,,,
Categories,Reality TV series,,,
Never Have I Ever,Drink if you've been to Germany,,,
Never Have I Ever,Drink if you've been to Ireland,,,
